% Model:              surface_mount_package.mph
% Version:            COMSOL 6.2.0.290
% Date:               May 26 2026, 01:45
% Dimension:          3
% Nodes:              4419
% Expressions:        1
% Description:        Temperature
% Length unit:        mm
% X                       Y                        Z                        T (K)
0.6350000000000007        2.850000000000001        -0.9000000000000002      305.03327591686605
0.5790000667046635        3.191710952383321        -0.9                     303.9429742181072
0.965595508213256         3.126080705623048        -0.9                     303.87844796445455
0.2944449845665339        3.0604153418064786       -0.9                     304.0204201667351
2.0220343875575537        2.195248525505864        -0.9                     303.5973220001933
5.089490921886954         0.2822605243121017       -0.8999999999999999      303.2304722896127
6.125065422770065         -0.031699443762577946    -1.9000000000000001      303.19698453815903
6.307776626450508         -0.0027368455601051167   -0.9                     303.1926273013159
5.443685008051997         -0.9764797448873446      -0.8999999999999999      303.2224581095926
7.497912625671229         -0.6792369245521477      -1.9                     303.1729475063944
7.462549480380874         -0.645988198935819       -0.9                     303.17333672038836
8.700466850091377         -1.2500621521210036      -0.9000000000000001      303.162581641607
8.638435482527866         -1.3503721999788847      -1.9                     303.16295764374803
10                        -2.1428571428571423      -0.9                     303.1580829921846
10                        -2.1428571428571423      -1.9                     303.158105516818
1.7758390420812633        4.052951583314702        -1.9                     303.4626345310999
2.6959563505908317        5                        -1.9                     303.3251772984345
1.6635302357185018        4.092441079837534        -0.9000000000000001      303.4740499232576
1.8148210246154657        5                        -0.9                     303.38812635554274
5.309742543827603         -0.8091078517583288      -1.9                     303.22664111669155
4.553337029943021         -0.7661711332740042      -0.9                     303.2637821530329
4.746053879132344         -1.319938987540963       -0.9                     303.26056535820317
3.711459697813746         1.2326883417752612       -1.3364027207506228      303.32098172599314
4.606821541526682         0.808746847076563        -1.9                     303.25318481536084
4.203878814884252         0.8453967408185089       -0.9000000000000001      303.27597478068753
4.097620252816673         -0.06261641998009848     -0.9000000000000001      303.28418563277995
4.930777955800318         -0.10516217469601008     -1.9                     303.23849651421693
2.8224372140533496        1.8254242143146744       -0.9                     303.42273253461184
3.127834128990221         1.4721806153210797       -0.9                     303.37249063536825
2.4000955847928536        1.8253401373992362       -0.9                     303.47970698108645
3.600885866461681         0.622242678030847        -0.9                     303.3171127580554
2.11348244692507          1.9554705266808656       -0.9                     303.53829713678346
2.2860691933987516        1.9988771890733936       -1.35570796253937        303.5205496008795
1.4786507271360192        2.6632939607400994       -1.1499999999999981      303.7733724226216
1.1864224679073092        2.7262516711975566       -1.1499999999999981      303.84902741797646
1.0624263149316513        2.762622917338084        -0.9                     303.9988185135793
1.6659412225826487        2.4656524799482256       -1.1499999999999992      303.7269121428919
1.9243154647559515        2.490559316285838        -1.3999999999999986      303.6389488418956
1.8175234074168642        2.153298443238948        -1.1743997379973534      303.62838210404493
1.7685229217694858        2.248463431461421        -0.9000000000000001      303.65430535764415
1.445978047989909         2.593861803613323        -0.9                     303.7832508023741
1.6308809221637155        2.467635537913213        -0.9                     303.74772752299174
1.215875743562501         2.5338102437404935       -0.8999999999999999      303.8275223204535
0.6655420181248478        2.7673177644852838       -0.9708691548849575      304.6787430530529
0.8350000000000009        2.6900000000000004       -0.9                     305.0336231958634
0.8350000000000009        2.8500000000000005       -0.9                     305.0298256675665
0.6350000000000007        2.690000000000001        -0.9000000000000002      305.03512331384815
0.5350000000000007        2.770000000000001        -0.9000000000000002      305.034280200872
2.4096053218886424        1.702161831254092        -1.1557422716746815      303.47870271105796
2.7285177416688122        1.49567543272421         -1.4107234208144461      303.4269468944488
3.537799733206043         1.0767474719646564       -1.9                     303.32539042756105
2.948019843860186         0.5918193754600631       -0.9                     303.3757263474762
2.92728399899278          1.664694652697006        -1.9                     303.3979898274251
2.3510826332167514        1.643270508104448        -1.9                     303.46830366391526
0.4980252850050026        2.8440641399312265       -1.0642585248142644      304.2989371643643
0.4350000000000005        2.8500000000000005       -0.9                     305.03150262871037
0.4350000000000005        2.6900000000000004       -0.9                     305.0333674536695
1.018520883266726         3.3975046716573547       -1.297954403459779       303.7144322661497
0.7963751754657941        3.604177463993175        -0.9                     303.68480369391403
1.0979142310557872        4.321504090562083        -0.8999999999999999      303.5015294146746
1.1022942027102332        3.8149273504813372       -1.9                     303.5704538869134
0.6089378639205189        3.30966466121268         -1.2309612746893661      303.8301100070199
0.22912014294611138       3.444194383777303        -0.9                     303.8088405751406
0.9515698737633203        2.629522091085546        -1.1499999999999975      303.9775041161759
0.963107387581367         2.477914405368626        -0.9                     303.95187294731636
0.7526132050983891        2.4509213724744656       -0.9                     304.059061400989
0.6477149239717399        2.9825285431977564       -1.252463605503421       303.9797273404383
0.7404857812122059        2.8338946113212646       -1.0588650716908778      304.3370890548468
