Eigen::internal::assign_sparse_to_sparse<Eigen::SparseMatrix<double,0,int>,Eigen::Ref<Eigen::SparseMatrix<double,0,int> const ,0,Eigen::OuterStride<-1> > >	0.07s	0.07s	0.75%	0.75%	busbar_example	E:\code\cpp\mpfem\build-msvc\vcpkg_installed\x64-windows\include\eigen3\Eigen\src\SparseCore\SparseAssign.h	93	0x7ff6d8878910
mpfem::SparseMatrix::eliminateRows	0.06s	0.06s	0.69%	0.73%	busbar_example	E:\code\cpp\mpfem\src\core\sparse_matrix.hpp	156	0x7ff6d864d037
mkl_pds_lp64_metis_idxmalloc	0.00s	0.06s	0.00%	0.71%	busbar_example	[unknown]	0	0x7ff6d2b0b93f
mkl_serv_malloc	0.00s	0.06s	0.00%	0.71%	busbar_example	[unknown]	0	0x7ff6d2af125e
mpfem::ConvectionMassIntegrator::assembleFacetMatrix	0.00s	0.06s	0.04%	0.70%	busbar_example	E:\code\cpp\mpfem\src\assembly\integrators.cpp	190	0x7ff6d86a191a
std::_Sort_unchecked<int *,std::less<void> >	0.00s	0.06s	0.05%	0.70%	busbar_example	E:\env\cpp\VS14\VC\Tools\MSVC\14.50.35717\include\algorithm	8847	0x7ff6d85bc5f1
mkl_pds_lp64_inv_perm_mod_mod_pardiso	0.06s	0.06s	0.69%	0.69%	busbar_example	[unknown]	0	0x7ff6d33a1190
mkl_pds_lp64_metis_pqueueupdateup	0.06s	0.06s	0.69%	0.69%	busbar_example	[unknown]	0	0x7ff6d2e7188e
mkl_pds_lp64_symfct_pardiso	0.06s	0.06s	0.69%	0.69%	busbar_example	[unknown]	0	0x7ff6d2c9ac95
Eigen::internal::redux_impl<Eigen::internal::scalar_sum_op<double,double>,Eigen::internal::redux_evaluator<Eigen::CwiseUnaryOp<Eigen::internal::squared_norm_functor<double,0>,Eigen::Matrix<double,-1,1,0,-1,1> const > >,3,0>::run<Eigen::CwiseUnaryOp<Eigen::internal::squared_norm_functor<double,0>,Eigen::Matrix<double,-1,1,0,-1,1> const > >	0.06s	0.06s	0.69%	0.69%	busbar_example	E:\code\cpp\mpfem\build-msvc\vcpkg_installed\x64-windows\include\eigen3\Eigen\src\Core\Redux.h	302	0x7ff6d8576545
mpfem::ResultExporter::exportComsolTextImpl	0.00s	0.06s	0.00%	0.69%	busbar_example	E:\code\cpp\mpfem\src\io\result_exporter.cpp	258	0x7ff6d85c700d
mpfem::MphtxtReader::parseElementBlock	0.00s	0.06s	0.02%	0.67%	busbar_example	E:\code\cpp\mpfem\src\io\mphtxt_reader.cpp	208	0x7ff6d85f2760
std::_Partition_by_pivot_unchecked<int *,std::less<void> >	0.05s	0.05s	0.62%	0.62%	busbar_example	E:\env\cpp\VS14\VC\Tools\MSVC\14.50.35717\include\algorithm	8769	0x7ff6d85bbf75
mkl_pds_lp64_kuhn_munkres	0.05s	0.05s	0.61%	0.61%	busbar_example	[unknown]	0	0x7ff6d2b2d165
operator new	0.00s	0.05s	0.00%	0.61%	busbar_example	D:\a\_work\1\s\src\vctools\crt\vcstartup\src\heap\new_scalar.cpp	36	0x7ff6d89e7a1f
mpfem::PhysicsProblemBuilder::buildStructural	0.00s	0.05s	0.00%	0.59%	busbar_example	E:\code\cpp\mpfem\src\problem\physics_problem_builder.cpp	411	0x7ff6d85a25a6
Eigen::LDLT<Eigen::Matrix<double,2,2,0,2,2>,1>::_solve_impl_transposed<1,Eigen::Transpose<Eigen::Matrix<double,3,2,0,3,2> const >,Eigen::Matrix<double,2,3,0,2,3> >	0.01s	0.05s	0.16%	0.56%	busbar_example	E:\code\cpp\mpfem\build-msvc\vcpkg_installed\x64-windows\include\eigen3\Eigen\src\Cholesky\LDLT.h	564	0x7ff6d89eaede
mkl_pds_lp64_metis_genmmd	0.00s	0.05s	0.00%	0.52%	busbar_example	[unknown]	0	0x7ff6d2ca7d4e
mkl_pds_lp64_metis_mmdorder	0.00s	0.05s	0.00%	0.52%	busbar_example	[unknown]	0	0x7ff6d2c2c8f5
mpfem::StructuralSolver::applyEssentialBCs	0.00s	0.05s	0.00%	0.52%	busbar_example	E:\code\cpp\mpfem\src\physics\structural_solver.cpp	62	0x7ff6d866c0f3
mkl_pds_lp64_metis_pqueueupdate	0.05s	0.05s	0.51%	0.51%	busbar_example	[unknown]	0	0x7ff6d2e71782
mpfem::CompiledExpressionNode::evaluateBatch	0.02s	0.04s	0.24%	0.49%	busbar_example	E:\code\cpp\mpfem\src\expr\expression_parser.cpp	181	0x7ff6d897b6e0
mpfem::PhysicsProblemBuilder::buildHeatTransfer	0.00s	0.04s	0.00%	0.48%	busbar_example	E:\code\cpp\mpfem\src\problem\physics_problem_builder.cpp	373	0x7ff6d85a1421
[00007FFC76121536]	0.04s	0.04s	0.46%	0.46%	busbar_example		0	0x7ffc76121536
[00007FFC76121526]	0.04s	0.04s	0.42%	0.42%	busbar_example		0	0x7ffc76121526
mpfem::ElementTransform::computeJacobian	0.03s	0.04s	0.34%	0.41%	busbar_example	E:\code\cpp\mpfem\src\fe\element_transform.cpp	20	0x7ff6d89f9d95
mpfem::StructuralSolver::buildRHS	0.00s	0.04s	0.00%	0.40%	busbar_example	E:\code\cpp\mpfem\src\physics\structural_solver.cpp	51	0x7ff6d866c3f3
mpfem::`anonymous namespace'::makeSinglePointContext	0.00s	0.04s	0.00%	0.39%	busbar_example	E:\code\cpp\mpfem\src\assembly\integrators.cpp	16	0x7ff6d86a7821
mpfem::PhysicsProblemBuilder::buildElectrostatics	0.00s	0.03s	0.00%	0.38%	busbar_example	E:\code\cpp\mpfem\src\problem\physics_problem_builder.cpp	347	0x7ff6d85a0c63
Eigen::LDLT<Eigen::Matrix<double,2,2,0,2,2>,1>::compute<Eigen::Matrix<double,2,2,0,2,2> >	0.02s	0.03s	0.20%	0.37%	busbar_example	E:\code\cpp\mpfem\build-msvc\vcpkg_installed\x64-windows\include\eigen3\Eigen\src\Cholesky\LDLT.h	486	0x7ff6d89ef432
std::_Zero_range<int *>	0.00s	0.03s	0.00%	0.36%	busbar_example	E:\env\cpp\VS14\VC\Tools\MSVC\14.50.35717\include\xmemory	2093	0x7ff6d85fa796
std::vector<int,std::allocator<int> >::_Resize<std::_Value_init_tag>	0.00s	0.03s	0.00%	0.36%	busbar_example	E:\env\cpp\VS14\VC\Tools\MSVC\14.50.35717\include\vector	1608	0x7ff6d85f94e2
mpfem::ElementTransform::transform	0.01s	0.03s	0.06%	0.36%	busbar_example	E:\code\cpp\mpfem\src\fe\element_transform.cpp	81	0x7ff6d8a03f70
